Index,Index in initial List,CWNS_No,Total Flow (MGD),City,County,State,Has Cogen,Est. Electricity Demand (MW),Est. Gas Demand (therms/hr),Electricity Utility,Gas Utility,Electric URL,Gas URL
29,1307,10000027001,75,Wilmington,New Castle,DE,Yes,5.46875,18.66113744,Delmarva,Delmarva,https://www.delmarva.com/Documents/Master%20tariff%20eff%2007-01-2021%20filed%2006-29-21%20DSIC.pdf,https://www.delmarva.com/Documents/GAS%20Master%20Tariff%20eff%2007-01-21%20filed%2006-29-21%20GAS%20DSIC.pdf
30,2414,51000154002,75,Richmond,Henrico,VA,No,10.9375,0,Dominion energy,,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/pdfs/virginia/business-rates/schedule-gs4.pdf?la=en&rev=2db2a8956bf44d598d0b7d0030c49841&hash=B9FD25EC56313F057F8647DFC8F67BBC,
31,13568,6005053001,75,Fresno,Fresno,CA,Yes,5.46875,18.66113744,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf
32,545,34001005001,75.19,Little Ferry,Bergen,NJ,Yes,5.482604167,18.70841232,Public Service Electric And Gas Company,Public Service Electric And Gas Company,https://nj.pseg.com/-/media/PSEG/Public-Site/Documents/Current-Electric-Tariff/Electric-Tariff-16-SBCUSF-Effective-10012021.ashx,https://nj.pseg.com/-/media/PSEG/Public-Site/Documents/Current-Gas-Tariff/Gas-Tariff-16-WNC-SBCUSF-10012021.ashx
33,13837,15000003001,77.6,Honolulu,Honolulu,HI,Yes,5.658333333,19.30805687,Hawaiian Electric,Hawaii Gas,https://www.hawaiianelectric.com/documents/billing_and_payment/rates/hawaiian_electric_rates/heco_rates_tou_p.pdf,https://www.hawaiigas.com/media/pmbp4pdr/hgas_tariff_oahu_rate_sch_eff_02-01-2019.pdf
34,9352,48004026002,78.81,Dallas,Dallas,TX,Yes,5.7465625,19.60912322,Oncor,Atmos Energy,https://www.oncor.com/content/dam/oncorwww/documents/about-us/regulatory/tariff-and-rate-schedules/Tariff%20for%20Retail%20Delivery%20Service.pdf.coredownload.pdf,https://www.atmosenergy.com/sites/default/files/mtx_aec_tariff_cee_effective_7_01_2021.pdf
35,6496,39000084001,79,Akron,Summit,OH,Yes,5.760416667,19.6563981,Ohio Edison,Dominion Energy,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/Ohio/tariffs/OE-2021-Electric-Service.pdf,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/pdfs/ohio/rates-tariffs/tariff-lvgss.pdf
36,872,36003169012,79.428,Yonkers,Westchester,NY,Yes,5.791625,19.762891,Con Edison,Con Edison,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://lite.coned.com/_external/cerates/documents/allrates.pdf
37,6774,39001792001,79.5,Columbus,Franklin,OH,No,11.59375,0,AEP Ohio,,https://www.aepohio.com/lib/docs/ratesandtariffs/Ohio/2021-08-03_AEP_OAD_Tariff.pdf,
38,13400,6002032003,80,San Francisco,San Francisco,CA,Yes,5.833333333,19.90521327,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf
39,13405,6002036001,80,Oakland,Alameda,CA,Yes,5.833333333,19.90521327,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf
40,6252,26004005011,81,Wyandotte,Wayne,MI,No,11.8125,0,DTE Electric Company,,https://www.michigan.gov/documents/mpsc/dtee1cur_579203_7.pdf,
41,11050,29001011001,81,Kansas City,Jackson,MO,No,11.8125,0,Evergy,,https://www.evergy.com/-/media/documents/billing/missouri/detailed_tariffs_mo/large-power-service-081419.pdf?la=en,
42,13505,6004009003,83.6,Whittier,Los Angeles,CA,No,12.19166667,0,Southern California Edison,,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_TOU-8.pdf,
43,546,34001030001,85,Elizabeth,Union,NJ,Yes,6.197916667,21.1492891,Public Service Electric And Gas Company,Public Service Electric And Gas Company,https://nj.pseg.com/-/media/PSEG/Public-Site/Documents/Current-Electric-Tariff/Electric-Tariff-16-SBCUSF-Effective-10012021.ashx,https://nj.pseg.com/-/media/PSEG/Public-Site/Documents/Current-Gas-Tariff/Gas-Tariff-16-WNC-SBCUSF-10012021.ashx
44,7168,39008260001,85,Toledo,Lucas,OH,Yes,6.197916667,21.1492891,Toledo Edison,Columbia Gas,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/Ohio/tariffs/TE-2021-Electric-Service.pdf,https://www.columbiagasohio.com/docs/librariesprovider5/rates-and-tariffs/ohio-tariff.pdf?sfvrsn=113
45,1158,36008024001,86.72,Rochester,Monroe,NY,No,12.64666667,0,National Grid,,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates,
46,752,36002001010,87.09,Brooklyn,Kings,NY,Yes,6.3503125,21.6693128,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
47,3495,13000012004,87.52,Atlanta,Fulton,GA,Yes,6.381666667,21.77630332,Georgia power,Georgia natural gas,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/PLL-12.pdf,https://www.atlantagaslight.com/content/dam/southern-co-gas/agl/pdfs/agl-bill-calculators/2021-bill-calculators/december-2021/agl-tariff_effective_12-1-21_clean.docx
48,13789,6008022001,88,Fountain Valley,Orange,CA,Yes,6.416666667,21.8957346,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_TOU-8.pdf,https://tariff.socalgas.com/regulatory/tariffs/tm2/pdf/G-10.pdf
