Index,CWNS_No,Existing Total Flow (MGD),Design Flow (MGD),City,County,State,Has Cogen,Est. Existing Energy Demand (MW),Est. Existing Electric Grid Demand (MW),Est. Existing Natural Gas Demand (therms/hr),Est. Design Energy Demand (MW),Est. Design Electric Grid Demand (MW),Est. Design Natural Gas Demand (therms/hr),Electricity Utility,Gas Utility
77,8000070001,152,161,Denver,Adams,CO,Yes,15.83333334,7.916666664,27.01421801,16.77083333,8.385416667,28.61374408,Xcel Energy,Xcel Energy
78,24000001001,155.483,180,Baltimore,Baltimore,MD,Yes,16.19614583,8.098072914,27.6332346,18.75,9.375,31.99052133,Baltimore Gas and Electric,Baltimore Gas and Electric
79,42005016001,164,250,Pittsburgh,Allegheny,PA,No,17.08333334,17.08333334,0,26.04166667,26.04166667,0,Duquesne Light Company,
80,6005009001,165,181,Sacramento,Sacramento,CA,Yes,17.1875,8.59375,29.32464455,18.85416667,9.427083333,32.16824645,SMUD,Pacific Gas and Electric
81,6002121001,167,167,,Alameda,CA,Yes,17.39583333,8.697916664,29.68009479,17.39583333,8.697916667,29.68009479,Pacific Gas and Electric,Pacific Gas and Electric
82,36002001012,170,170,New York,New York,NY,Yes,17.70833333,8.854166664,30.21327014,17.70833333,8.854166667,30.21327014,Con Edison,National Grid
83,39001666002,170,175,Cuyahoga Heights,Cuyahoga,OH,No,17.70833334,17.70833334,0,18.22916667,18.22916667,0,The Illuminating Company,
84,34002065001,177.633,147,Sayreville,Middlesex,NJ,Yes,18.5034375,9.25171875,31.56984597,15.3125,7.65625,26.12559242,Jersey Central Power and Light,Public Service Electric And Gas
85,6009031001,184,240,San Diego,San Diego,CA,Yes,19.16666667,9.583333336,32.7014218,25,12.5,42.65402844,San Diego Gas and Electric,San Diego Gas and Electric
86,42000094001,196.7,210,Philadelphia,Philadelphia,PA,No,20.48958334,20.48958334,0,21.875,21.875,0,PECO,
87,42000094002,198.5,200,Philadelphia,Philadelphia,PA,Yes,20.67708333,10.33854166,35.27843602,20.83333333,10.41666667,35.5450237,PECO,Philadelphia Gas Works
88,27000001001,203.62,218,St Paul,Ramsey,MN,No,21.21041666,21.21041666,0,22.70833333,22.70833333,0,Xcel Energy,
89,55003100001,212,236,Milwaukee,Milwaukee,WI,Yes,22.08333333,11.04166666,37.67772512,24.58333333,12.29166667,41.94312796,We Energies,We Energies
90,17000721009,232.58,354,Chicago,Cook,IL,No,24.22708334,24.22708334,0,36.875,36.875,0,Comed,
91,36002001001,250,275,New York,New York,NY,Yes,26.04166667,13.02083334,44.43127962,28.64583333,14.32291667,48.87440758,Con Edison,Con Edison
92,36002001011,271.26,310,Brooklyn,Kings,NY,Yes,28.25625,14.128125,48.20971564,32.29166667,16.14583333,55.09478673,Con Edison,National Grid
93,34001082001,278.33,368,Newark,Essex,NJ,No,28.99270834,28.99270834,0,38.33333333,38.33333333,0,Public Service Electric And Gas,
94,17000721007,292,333,Skokie,Cook,IL,No,30.41666666,30.41666666,0,34.6875,34.6875,0,Comed,
95,25000128001,310,310,Boston,Suffolk,MA,Yes,32.29166667,16.14583334,55.09478673,32.29166667,16.14583333,55.09478673,Eversource,National Grid
96,6004010001,325,450,Playa Del Ray,Los Angeles,CA,Yes,33.85416667,16.92708334,57.76066351,46.875,23.4375,79.97630332,Southern California Edison,Southern California Gas
97,6004009001,339,400,Carson,Los Angeles,CA,Yes,35.3125,17.65625,60.24881516,41.66666667,20.83333333,71.09004739,Southern California Edison,Southern California Gas
98,11000001001,370,370,Washington,District of Columbia,DC,Yes,38.54166667,19.27083334,65.75829384,38.54166667,19.27083333,65.75829384,Pepco,Washington Gas
99,26000596001,660.5,930,Detroit,Wayne,MI,No,68.80208334,68.80208334,0,96.875,96.875,0,DTE Energy,
100,17000721001,812,1200,Cicero,Cook,IL,No,84.58333336,84.58333336,0,125,125,0,Comed,
